p,e,len,size
0.64,0.2,6.3944,197.9288
0.64,0.3,6.3882,197.6066
0.64,0.4,6.3901,197.644
0.64,0.5,6.3989,197.6473
0.64,0.6,6.3883,197.8558
0.64,0.7,6.3947,197.83
0.64,0.8,6.3894,198.0232
0.64,0.9,6.3979,197.6013
0.64,1,6.382,197.5194
0.64,1.1,6.4082,197.9066
0.64,1.2,6.377,197.777
0.64,1.3,6.408,197.6827
0.64,1.4,6.374,197.3068
0.64,1.5,6.3978,197.6416
0.64,1.6,6.395,197.6608
0.64,1.7,6.3936,197.8757
0.64,1.8,6.3871,197.4807
0.64,1.9,6.4173,197.8052
0.64,2,6.3879,197.7417
0.64,2.1,6.3718,197.3601
0.64,2.2,6.3803,197.676
0.64,2.3,6.3981,197.4075
0.64,2.4,6.4069,197.9301
0.64,2.5,6.3983,197.5306
0.64,2.6,6.4176,197.7332
0.64,2.7,6.3915,197.6618
0.64,2.8,6.3801,197.5452
0.64,2.9,6.3836,197.4235
0.64,3,6.3881,197.7053
0.64,3.1,6.3933,197.8862
0.64,3.2,6.401,197.6243
0.64,3.3,6.3969,197.806
0.64,3.4,6.4,197.7714
0.64,3.5,6.3821,197.4979
0.64,3.6,6.3875,197.6584
0.64,3.7,6.3791,197.6341
0.64,3.8,6.4013,197.717
0.64,3.9,6.4053,197.7095
0.64,4,6.4046,197.7866
0.64,4.1,6.3955,197.8089
0.64,4.2,6.3887,197.2052
0.64,4.3,6.3982,197.5904
0.64,4.4,6.3983,197.7255
0.64,4.5,6.4028,197.9331
0.64,4.6,6.3929,197.5341
0.64,4.7,6.4059,197.7017
0.64,4.8,6.3963,197.8964
0.64,4.9,6.405,197.657
0.64,5,6.4036,197.7555
0.64,5.1,6.3831,197.5387
0.64,5.2,6.3948,197.5545
0.64,5.3,6.4067,197.8732
0.64,5.4,6.412,197.6281
0.64,5.5,6.41,197.9015
0.64,5.6,6.3862,197.5146
0.64,5.7,6.3951,197.7148
0.64,5.8,6.4119,197.7561
0.64,5.9,6.4197,197.9257
0.64,6,6.3969,197.7953
0.64,6.1,6.4161,197.9403
0.64,6.2,6.399,197.6712
0.64,6.3,6.4059,197.5844
0.64,6.4,6.3975,197.5781
0.64,6.5,6.402,197.487
0.64,6.6,6.4149,197.6276
0.64,6.7,6.4153,197.6284
0.64,6.8,6.407,197.7528
0.64,6.9,6.4087,197.3703
0.64,7,6.4262,197.7598
0.64,7.1,6.4044,197.6978
0.64,7.2,6.4127,197.7416
0.64,7.3,6.407,197.7091
0.64,7.4,6.4106,197.3497
0.64,7.5,6.4093,197.628
0.64,7.6,6.4073,197.7853
0.64,7.7,6.4059,197.4552
0.64,7.8,6.4339,197.806
0.64,7.9,6.4203,197.8597
0.64,8,6.4157,197.6602
0.64,8.1,6.4179,197.5348
0.64,8.2,6.3981,197.6881
0.64,8.3,6.4218,197.6267
0.64,8.4,6.4118,197.247
0.64,8.5,6.4168,197.3916
0.64,8.6,6.4195,197.6544
0.64,8.7,6.4233,197.4486
0.64,8.8,6.437,197.8373
0.64,8.9,6.4237,197.4556
0.64,9,6.4372,197.6442
0.64,9.1,6.4361,197.8653
0.64,9.2,6.4297,197.6171
0.64,9.3,6.449,197.7638
0.64,9.4,6.4431,197.4622
0.64,9.5,6.4488,197.872
0.64,9.6,6.4542,197.6099
0.64,9.7,6.4481,197.9024
0.64,9.8,6.4628,197.8271
0.64,9.9,6.4539,197.3485
0.64,10,6.4728,197.5377
0.64,10.1,6.4693,197.5966
0.64,10.2,6.481,197.5749
0.64,10.3,6.4696,197.4998
0.64,10.4,6.4755,197.6292
0.64,10.5,6.4933,197.5453
0.64,10.6,6.5048,198.0185
0.64,10.7,6.4862,197.6711
0.64,10.8,6.4906,197.59
0.64,10.9,6.5185,197.7164
0.64,11,6.5033,197.3402
0.64,11.1,6.5255,198.0089
0.64,11.2,6.4946,197.5151
0.64,11.3,6.5256,197.5643
0.64,11.4,6.555,197.6584
0.64,11.5,6.5501,197.9218
0.64,11.6,6.5419,197.7663
0.64,11.7,6.5586,197.6116
0.64,11.8,6.5875,197.8464
0.64,11.9,6.5914,197.5587
0.64,12,6.5951,197.8397
0.64,12.1,6.6123,197.6045
0.64,12.2,6.6126,197.6603
0.64,12.3,6.6149,197.746
0.64,12.4,6.6321,197.7644
0.64,12.5,6.6347,197.6465
0.64,12.6,6.6581,197.6885
0.64,12.7,6.6642,197.6975
0.64,12.8,6.6898,197.5271
0.64,12.9,6.7012,197.7007
0.64,13,6.7127,197.7078
0.64,13.1,6.7368,198.0586
0.64,13.2,6.7462,197.8097
0.64,13.3,6.7688,197.7925
0.64,13.4,6.803,197.7235
0.64,13.5,6.8078,197.5737
0.64,13.6,6.8313,197.72
0.64,13.7,6.8617,197.8513
0.64,13.8,6.8893,197.6595
0.64,13.9,6.9094,197.6834
0.64,14,6.9407,197.6975
0.64,14.1,6.9722,198.0084
0.64,14.2,6.9976,197.8924
0.64,14.3,7.0384,197.7132
0.64,14.4,7.0882,197.7629
0.64,14.5,7.1155,197.4672
0.64,14.6,7.1892,197.9684
0.64,14.7,7.2208,197.4146
0.64,14.8,7.2637,197.614
0.64,14.9,7.324,197.8043
0.64,15,7.3847,197.7442
0.64,15.1,7.4864,197.6532
0.64,15.2,7.5608,197.8426
0.64,15.3,7.6589,198.0041
0.64,15.4,7.7824,197.7223
0.64,15.5,7.885,197.8008
0.64,15.6,8.0884,197.694
0.64,15.7,8.3486,197.3521
0.64,15.8,8.591,194.2813
0.64,15.9,8.4248,176.3024
