p,e,len,size
0.1,15,2.7301,3.12
0.1,16,2.7761,3.2408
0.11,0,3.377,5.1942
0.11,1,3.4224,5.2903
0.11,2,3.3592,5.0467
0.11,3,3.3243,4.9693
0.11,4,3.4622,5.3735
0.11,5,3.3562,5.0748
0.11,6,3.3642,5.1774
0.11,7,3.3638,5.14
0.11,8,3.4146,5.1877
0.11,9,3.351,5.0429
0.11,10,3.3577,5.1058
0.11,11,3.3805,5.1818
0.11,12,3.3164,4.9111
0.11,13,3.4094,5.0691
0.11,14,3.2884,4.7736
0.11,15,3.2212,4.5606
0.11,16,3.1361,4.2519
0.12,0,4.1628,7.948
0.12,1,4.0756,7.6571
0.12,2,4.1233,7.9782
0.12,3,3.9893,7.4391
0.12,4,4.0326,7.5335
0.12,5,3.984,7.3269
0.12,6,4.0271,7.5393
0.12,7,4.0643,7.5438
0.12,8,3.9665,7.437
0.12,9,4.0403,7.6414
0.12,10,3.9978,7.3845
0.12,11,3.9129,7.2081
0.12,12,3.9176,7.1097
0.12,13,3.9351,7.059
0.12,14,3.9067,6.8564
0.12,15,3.7792,6.3719
0.12,16,3.7003,6.0178
0.13,0,4.9299,11.7793
0.13,1,4.9577,11.83
0.13,2,4.8966,11.3632
0.13,3,4.8901,11.432
0.13,4,4.8558,11.3199
0.13,5,4.8032,11.1086
0.13,6,4.9332,11.6287
0.13,7,4.9484,11.6053
0.13,8,4.9053,11.308
0.13,9,4.9074,11.3657
0.13,10,4.818,11.0465
0.13,11,4.7316,10.461
0.13,12,4.7614,10.5839
0.13,13,4.7663,10.4254
0.13,14,4.649,10.0424
0.13,15,4.534,9.3188
0.13,16,4.2945,8.2391
0.14,0,6.0203,17.4692
0.14,1,5.9895,17.1618
0.14,2,5.8323,16.7237
0.14,3,5.8817,16.7622
0.14,4,5.9251,17.0716
0.14,5,5.9493,17.1632
0.14,6,6.0578,17.5472
0.14,7,5.9105,17.0301
0.14,8,5.9086,16.9125
0.14,9,5.7818,16.1678
0.14,10,5.8627,16.5299
0.14,11,5.8964,16.4316
0.14,12,5.7716,15.8416
0.14,13,5.786,15.6418
0.14,14,5.5459,14.3835
0.14,15,5.4817,13.6932
0.14,16,5.0893,11.4694
0.15,0,7.2126,25.1235
0.15,1,7.2011,25.1992
0.15,2,7.2244,25.3026
0.15,3,7.1805,25.0321
0.15,4,7.1665,25.0658
0.15,5,7.1497,24.8156
0.15,6,7.0832,24.4221
0.15,7,7.1218,24.4906
0.15,8,7.1047,24.3404
0.15,9,7.0609,24.2972
0.15,10,7.0108,23.9317
0.15,11,7.063,23.989
0.15,12,7.0356,23.3437
0.15,13,6.9513,22.7731
0.15,14,6.6998,20.9959
0.15,15,6.5637,19.5729
0.15,16,5.747,14.8613
0.16,0,8.3293,34.6945
0.16,1,8.2418,34.1471
0.16,2,8.3101,34.8434
0.16,3,8.4026,35.0869
0.16,4,8.4219,35.234
0.16,5,8.3942,34.7467
0.16,6,8.3064,34.5342
0.16,7,8.2443,34.0017
0.16,8,8.4782,34.9157
0.16,9,8.2185,33.5727
0.16,10,8.3743,34.0825
0.16,11,8.1987,32.7732
0.16,12,8.365,33.6009
0.16,13,8.0461,31.0602
0.16,14,7.9853,30.186
0.16,15,7.6497,26.8157
0.16,16,6.5043,19.3761
0.17,0,9.4959,46.6943
0.17,1,9.515,46.8069
0.17,2,9.4763,46.0918
0.17,3,9.5775,47.2206
0.17,4,9.3836,45.5903
0.17,5,9.3976,45.7683
0.17,6,9.5326,46.5639
0.17,7,9.6393,46.6696
0.17,8,9.4409,46.3004
0.17,9,9.4799,45.8549
0.17,10,9.5077,45.5296
0.17,11,9.4396,44.8362
0.17,12,9.4096,44.0535
0.17,13,9.449,43.4972
0.17,14,9.1887,40.4912
0.17,15,8.9442,37.046
0.17,16,7.2872,24.1918
0.18,0,10.3154,58.8155
0.18,1,10.4226,59.4453
0.18,2,10.3767,59.4983
0.18,3,10.4416,59.7312
0.18,4,10.2271,58.0371
0.18,5,10.1814,58.0919
0.18,6,10.3338,59.0099
0.18,7,10.2917,57.5168
0.18,8,10.2767,57.7022
0.18,9,10.358,57.7748
0.18,10,10.3208,57.7167
0.18,11,10.2383,56.0856
0.18,12,10.4258,56.8029
0.18,13,10.4601,55.6637
0.18,14,10.3875,53.2416
0.18,15,10.1366,47.6115
0.18,16,8.031,30.2968
0.19,0,10.9882,72.1205
0.19,1,11.0111,72.9218
0.19,2,10.9819,72.5209
0.19,3,10.9174,71.6681
0.19,4,10.9492,71.4921
0.19,5,10.906,71.1079
0.19,6,10.924,71.1607
0.19,7,10.946,71.1891
0.19,8,11.1122,72.7564
0.19,9,10.9988,70.3835
0.19,10,10.9576,70.7385
0.19,11,10.8011,68.0744
0.19,12,11.1217,69.8113
0.19,13,11.0145,67.8141
0.19,14,11.3248,66.9568
0.19,15,11.0854,60.5515
0.19,16,8.5927,35.9117
0.2,0,11.1676,82.9669
0.2,1,11.2517,83.798
0.2,2,11.3602,84.3324
0.2,3,11.3578,84.4346
0.2,4,11.0908,82.1907
0.2,5,11.2121,82.5165
0.2,6,11.2506,84.2113
0.2,7,11.337,84.4093
0.2,8,11.2447,82.257
0.2,9,11.3133,81.9863
0.2,10,11.3711,82.3359
0.2,11,11.3764,81.8306
0.2,12,11.3847,80.9697
0.2,13,11.658,80.3039
0.2,14,11.8632,79.6737
