p,e,len,size
0.14,15.53,5.30305,12.7443
0.14,15.54,5.2766,12.50405
0.14,15.55,5.2275,12.39995
0.14,15.56,5.22675,12.36105
0.14,15.57,5.21185,12.31405
0.14,15.58,5.206,12.3137
0.14,15.59,5.2445,12.31475
0.14,15.6,5.2175,12.33065
0.14,15.61,5.24065,12.40815
0.14,15.62,5.1951,12.32875
0.14,15.63,5.20905,12.2539
0.14,15.64,5.16655,12.1499
0.14,15.65,5.15225,12.0076
0.14,15.66,5.1608,12.0092
0.14,15.67,5.1395,11.98645
0.14,15.68,5.21935,12.19865
0.14,15.69,5.14,11.9919
0.14,15.7,5.2356,12.3388
0.14,15.71,5.2284,12.1759
0.14,15.72,5.1801,12.02445
0.14,15.73,5.14885,11.87295
0.14,15.74,5.1608,12.1802
0.14,15.75,5.23235,12.2109
0.14,15.76,5.1873,12.1643
0.14,15.77,5.122,11.7526
0.14,15.78,5.1794,11.9213
0.14,15.79,5.13275,11.89045
0.14,15.8,5.1814,12.01545
0.14,15.81,5.12505,11.751
0.14,15.82,5.10765,11.69105
0.14,15.83,5.1131,11.7102
0.14,15.84,5.16525,11.96395
0.14,15.85,5.15295,11.81995
0.14,15.86,5.09975,11.68775
0.14,15.87,5.13875,11.81535
0.14,15.88,5.05035,11.4959
0.14,15.89,5.1079,11.59445
0.14,15.9,5.00315,11.39915
0.14,15.91,5.0649,11.37505
0.14,15.92,5.0788,11.52735
0.14,15.93,5.06305,11.512
0.14,15.94,5.0716,11.5443
0.14,15.95,5.04035,11.4311
0.14,15.96,5.04695,11.4063
0.14,15.97,4.99945,11.2558
0.14,15.98,5.0365,11.37645
0.14,15.99,5.0149,11.19125
0.14,16,5.0034,11.2124
0.19,0,10.9445,71.65995
0.19,0.1,10.97245,71.88175
0.19,0.2,10.93005,71.4825
0.19,0.3,10.9596,71.92215
0.19,0.4,10.87265,71.32415
0.19,0.5,10.94485,72.0629
0.19,0.6,10.87765,70.9134
0.19,0.7,10.90215,71.42695
0.19,0.8,11.08465,72.6822
0.19,0.9,10.872,71.29945
0.19,1,10.82835,71.0413
0.19,1.1,10.88155,71.3006
0.19,1.2,10.9605,71.4615
0.19,1.3,10.84955,71.34475
0.19,1.4,10.96605,71.8281
0.19,1.5,10.86415,70.9274
0.19,1.6,10.87435,71.08095
0.19,1.7,10.87835,71.215
0.19,1.8,10.9414,72.13375
0.19,1.9,10.94455,71.9157
0.19,2,10.91085,71.645
0.19,2.1,10.88575,71.18095
0.19,2.2,10.96385,72.2477
0.19,2.3,10.98745,72.2428
0.19,2.4,10.98895,72.03275
0.19,2.5,10.84715,70.7756
0.19,2.6,10.98135,72.181
0.19,2.7,10.9466,71.37835
0.19,2.8,11.0256,72.14525
0.19,2.9,10.8417,71.1985
0.19,3,10.90875,71.29835
0.19,3.1,10.88535,71.4151
0.19,3.2,10.83065,70.79765
0.19,3.3,10.90055,71.38295
0.19,3.4,10.88845,71.16015
0.19,3.5,10.9768,71.61955
0.19,3.6,10.9219,71.474
